scenario_id,system_name,expected_guideline_topic,retrieved_topics,hit_at_3,hit_at_5,coverage_rate_at_3,coverage_rate_at_5,covered_topics_at_3,covered_topics_at_5,expected_topic_count
O005,rag_only,weight management; healthy diet; sleep habits; physical activity,weight management; weight management; weight management; weight management; weight management,True,True,1.0,1.0,weight management; healthy diet; sleep habits; physical activity,weight management; healthy diet; sleep habits; physical activity,4
O005,full_pipeline,weight management; healthy diet; sleep habits; physical activity,weight management; weight management; weight management; weight management; weight management,True,True,1.0,1.0,weight management; healthy diet; sleep habits; physical activity,weight management; healthy diet; sleep habits; physical activity,4
O006,rag_only,weight management; physical activity; moderate intensity; healthy diet,weight management; physical activity; weight management; weight management; weight management,True,True,1.0,1.0,weight management; physical activity; moderate intensity; healthy diet,weight management; physical activity; moderate intensity; healthy diet,4
O006,full_pipeline,weight management; physical activity; moderate intensity; healthy diet,weight management; physical activity; weight management; weight management; weight management,True,True,1.0,1.0,weight management; physical activity; moderate intensity; healthy diet,weight management; physical activity; moderate intensity; healthy diet,4
O007,rag_only,weight management; physical activity; muscle strengthening; healthy diet,weight management; weight management; weight management; weight management; weight management,True,True,0.75,0.75,weight management; physical activity; healthy diet,weight management; physical activity; healthy diet,4
O007,full_pipeline,weight management; physical activity; muscle strengthening; healthy diet,weight management; weight management; weight management; weight management; weight management,True,True,0.75,0.75,weight management; physical activity; healthy diet,weight management; physical activity; healthy diet,4
O008,rag_only,weight management; sugary drink reduction; healthy diet; physical activity,weight management; weight management; healthy diet; sugary drink reduction; sugary drink reduction,True,True,1.0,1.0,weight management; sugary drink reduction; healthy diet; physical activity,weight management; sugary drink reduction; healthy diet; physical activity,4
O008,full_pipeline,weight management; sugary drink reduction; healthy diet; physical activity,weight management; weight management; healthy diet; sugary drink reduction; sugary drink reduction,True,True,1.0,1.0,weight management; sugary drink reduction; healthy diet; physical activity,weight management; sugary drink reduction; healthy diet; physical activity,4
O009,rag_only,weight management; sedentary behavior; physical activity; healthy diet,weight management; weight management; sedentary behavior; weight management; weight management,True,True,1.0,1.0,weight management; sedentary behavior; physical activity; healthy diet,weight management; sedentary behavior; physical activity; healthy diet,4
O009,full_pipeline,weight management; sedentary behavior; physical activity; healthy diet,weight management; weight management; sedentary behavior; weight management; weight management,True,True,1.0,1.0,weight management; sedentary behavior; physical activity; healthy diet,weight management; sedentary behavior; physical activity; healthy diet,4
O010,rag_only,weight management; sodium reduction; healthy diet; alcohol moderation; physical activity,hypertension lifestyle; hypertension lifestyle; sodium reduction; weight management; sodium reduction,True,True,1.0,1.0,weight management; sodium reduction; healthy diet; alcohol moderation; physical activity,weight management; sodium reduction; healthy diet; alcohol moderation; physical activity,5
O010,full_pipeline,weight management; sodium reduction; healthy diet; alcohol moderation; physical activity,hypertension lifestyle; hypertension lifestyle; sodium reduction; weight management; sodium reduction,True,True,1.0,1.0,weight management; sodium reduction; healthy diet; alcohol moderation; physical activity,weight management; sodium reduction; healthy diet; alcohol moderation; physical activity,5
BP001,rag_only,hypertension lifestyle; sodium reduction; physical activity; smoking cessation; alcohol moderation,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; physical activity; smoking cessation; alcohol moderation,hypertension lifestyle; sodium reduction; physical activity; smoking cessation; alcohol moderation,5
BP001,full_pipeline,hypertension lifestyle; sodium reduction; physical activity; smoking cessation; alcohol moderation,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; physical activity; smoking cessation; alcohol moderation,hypertension lifestyle; sodium reduction; physical activity; smoking cessation; alcohol moderation,5
BP002,rag_only,hypertension lifestyle; sodium reduction; healthy diet; physical activity; alcohol moderation,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; healthy diet; physical activity; alcohol moderation,hypertension lifestyle; sodium reduction; healthy diet; physical activity; alcohol moderation,5
BP002,full_pipeline,hypertension lifestyle; sodium reduction; healthy diet; physical activity; alcohol moderation,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; healthy diet; physical activity; alcohol moderation,hypertension lifestyle; sodium reduction; healthy diet; physical activity; alcohol moderation,5
BP003,rag_only,hypertension lifestyle; physical activity; sodium reduction; healthy diet,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; physical activity; sodium reduction; healthy diet,hypertension lifestyle; physical activity; sodium reduction; healthy diet,4
BP003,full_pipeline,hypertension lifestyle; physical activity; sodium reduction; healthy diet,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; physical activity; sodium reduction; healthy diet,hypertension lifestyle; physical activity; sodium reduction; healthy diet,4
BP004,rag_only,hypertension lifestyle; sodium reduction; sleep habits; physical activity; healthy diet,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; sleep habits; physical activity; healthy diet,hypertension lifestyle; sodium reduction; sleep habits; physical activity; healthy diet,5
BP004,full_pipeline,hypertension lifestyle; sodium reduction; sleep habits; physical activity; healthy diet,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; sleep habits; physical activity; healthy diet,hypertension lifestyle; sodium reduction; sleep habits; physical activity; healthy diet,5
BP005,rag_only,hypertension lifestyle; weight management; sodium reduction; alcohol moderation; physical activity,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; weight management; sodium reduction; alcohol moderation; physical activity,hypertension lifestyle; weight management; sodium reduction; alcohol moderation; physical activity,5
BP005,full_pipeline,hypertension lifestyle; weight management; sodium reduction; alcohol moderation; physical activity,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; weight management; sodium reduction; alcohol moderation; physical activity,hypertension lifestyle; weight management; sodium reduction; alcohol moderation; physical activity,5
BP006,rag_only,hypertension lifestyle; smoking cessation; sodium reduction; physical activity; sleep habits,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; smoking cessation; sodium reduction; physical activity; sleep habits,hypertension lifestyle; smoking cessation; sodium reduction; physical activity; sleep habits,5
BP006,full_pipeline,hypertension lifestyle; smoking cessation; sodium reduction; physical activity; sleep habits,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; smoking cessation; sodium reduction; physical activity; sleep habits,hypertension lifestyle; smoking cessation; sodium reduction; physical activity; sleep habits,5
BP007,rag_only,hypertension lifestyle; sodium reduction; alcohol moderation; healthy diet; physical activity,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; alcohol moderation; healthy diet; physical activity,hypertension lifestyle; sodium reduction; alcohol moderation; healthy diet; physical activity,5
BP007,full_pipeline,hypertension lifestyle; sodium reduction; alcohol moderation; healthy diet; physical activity,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; alcohol moderation; healthy diet; physical activity,hypertension lifestyle; sodium reduction; alcohol moderation; healthy diet; physical activity,5
BP008,rag_only,hypertension lifestyle; sodium reduction; physical activity; healthy diet,hypertension lifestyle; hypertension lifestyle; sodium reduction; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; physical activity; healthy diet,hypertension lifestyle; sodium reduction; physical activity; healthy diet,4
BP008,full_pipeline,hypertension lifestyle; sodium reduction; physical activity; healthy diet,hypertension lifestyle; hypertension lifestyle; sodium reduction; hypertension lifestyle; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; physical activity; healthy diet,hypertension lifestyle; sodium reduction; physical activity; healthy diet,4
BP009,rag_only,hypertension lifestyle; weight management; sugary drink reduction; alcohol moderation; physical activity,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sugary drink reduction,True,True,1.0,1.0,hypertension lifestyle; weight management; sugary drink reduction; alcohol moderation; physical activity,hypertension lifestyle; weight management; sugary drink reduction; alcohol moderation; physical activity,5
BP009,full_pipeline,hypertension lifestyle; weight management; sugary drink reduction; alcohol moderation; physical activity,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sugary drink reduction,True,True,1.0,1.0,hypertension lifestyle; weight management; sugary drink reduction; alcohol moderation; physical activity,hypertension lifestyle; weight management; sugary drink reduction; alcohol moderation; physical activity,5
BP010,rag_only,hypertension lifestyle; sodium reduction; physical activity; sedentary behavior; healthy diet,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; physical activity; sedentary behavior; healthy diet,hypertension lifestyle; sodium reduction; physical activity; sedentary behavior; healthy diet,5
BP010,full_pipeline,hypertension lifestyle; sodium reduction; physical activity; sedentary behavior; healthy diet,hypertension lifestyle; hypertension lifestyle; hypertension lifestyle; sodium reduction; sodium reduction,True,True,1.0,1.0,hypertension lifestyle; sodium reduction; physical activity; sedentary behavior; healthy diet,hypertension lifestyle; sodium reduction; physical activity; sedentary behavior; healthy diet,5
D001,rag_only,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; diabetes prevention; diabetes prevention; diabetes prevention; healthy diet,True,True,1.0,1.0,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; healthy diet; physical activity; weight management,4
D001,full_pipeline,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; diabetes prevention; diabetes prevention; diabetes prevention; healthy diet,True,True,1.0,1.0,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; healthy diet; physical activity; weight management,4
D002,rag_only,diabetes prevention; sugary drink reduction; weight management; physical activity; healthy diet,healthy diet; diabetes prevention; diabetes prevention; sugary drink reduction; diabetes prevention,True,True,1.0,1.0,diabetes prevention; sugary drink reduction; weight management; physical activity; healthy diet,diabetes prevention; sugary drink reduction; weight management; physical activity; healthy diet,5
D002,full_pipeline,diabetes prevention; sugary drink reduction; weight management; physical activity; healthy diet,healthy diet; diabetes prevention; diabetes prevention; sugary drink reduction; diabetes prevention,True,True,1.0,1.0,diabetes prevention; sugary drink reduction; weight management; physical activity; healthy diet,diabetes prevention; sugary drink reduction; weight management; physical activity; healthy diet,5
D003,rag_only,diabetes prevention; healthy diet; free sugars; physical activity; weight management,diabetes prevention; diabetes prevention; diabetes prevention; healthy diet; diabetes prevention,True,True,0.8,0.8,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; healthy diet; physical activity; weight management,5
D003,full_pipeline,diabetes prevention; healthy diet; free sugars; physical activity; weight management,diabetes prevention; diabetes prevention; diabetes prevention; healthy diet; diabetes prevention,True,True,0.8,0.8,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; healthy diet; physical activity; weight management,5
D004,rag_only,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; diabetes prevention; diabetes prevention; healthy diet; diabetes prevention,True,True,1.0,1.0,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; healthy diet; physical activity; weight management,4
D004,full_pipeline,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; diabetes prevention; diabetes prevention; healthy diet; diabetes prevention,True,True,1.0,1.0,diabetes prevention; healthy diet; physical activity; weight management,diabetes prevention; healthy diet; physical activity; weight management,4
D005,rag_only,diabetes prevention; sedentary behavior; physical activity; weight management; healthy diet,diabetes prevention; diabetes prevention; diabetes prevention; diabetes prevention; healthy diet,True,True,0.8,0.8,diabetes prevention; physical activity; weight management; healthy diet,diabetes prevention; physical activity; weight management; healthy diet,5
D005,full_pipeline,diabetes prevention; sedentary behavior; physical activity; weight management; healthy diet,diabetes prevention; diabetes prevention; diabetes prevention; diabetes prevention; healthy diet,True,True,0.8,0.8,diabetes prevention; physical activity; weight management; healthy diet,diabetes prevention; physical activity; weight management; healthy diet,5
D006,rag_only,diabetes prevention; sleep habits; sugary drink reduction; physical activity; healthy diet,healthy diet; diabetes prevention; diabetes prevention; hypertension lifestyle; diabetes prevention,True,True,0.8,0.8,diabetes prevention; sugary drink reduction; physical activity; healthy diet,diabetes prevention; sugary drink reduction; physical activity; healthy diet,5
D006,full_pipeline,diabetes prevention; sleep habits; sugary drink reduction; physical activity; healthy diet,healthy diet; diabetes prevention; diabetes prevention; hypertension lifestyle; diabetes prevention,True,True,0.8,0.8,diabetes prevention; sugary drink reduction; physical activity; healthy diet,diabetes prevention; sugary drink reduction; physical activity; healthy diet,5
D007,rag_only,diabetes prevention; weight management; smoking cessation; sugary drink reduction; physical activity,diabetes prevention; diabetes prevention; diabetes prevention; diabetes prevention; hypertension lifestyle,True,True,0.8,0.8,diabetes prevention; weight management; smoking cessation; physical activity,diabetes prevention; weight management; smoking cessation; physical activity,5
D007,full_pipeline,diabetes prevention; weight management; smoking cessation; sugary drink reduction; physical activity,diabetes prevention; diabetes prevention; diabetes prevention; diabetes prevention; hypertension lifestyle,True,True,0.8,0.8,diabetes prevention; weight management; smoking cessation; physical activity,diabetes prevention; weight management; smoking cessation; physical activity,5
D008,rag_only,diabetes prevention; healthy diet; physical activity; sedentary behavior,diabetes prevention; diabetes prevention; diabetes prevention; hypertension lifestyle; diabetes prevention,True,True,0.75,0.75,diabetes prevention; healthy diet; physical activity,diabetes prevention; healthy diet; physical activity,4
D008,full_pipeline,diabetes prevention; healthy diet; physical activity; sedentary behavior,diabetes prevention; diabetes prevention; diabetes prevention; hypertension lifestyle; diabetes prevention,True,True,0.75,0.75,diabetes prevention; healthy diet; physical activity,diabetes prevention; healthy diet; physical activity,4
D009,rag_only,diabetes prevention; sugary drink reduction; healthy diet; physical activity,healthy diet; diabetes prevention; diabetes prevention; hypertension lifestyle; hypertension lifestyle,True,True,1.0,1.0,diabetes prevention; sugary drink reduction; healthy diet; physical activity,diabetes prevention; sugary drink reduction; healthy diet; physical activity,4
D009,full_pipeline,diabetes prevention; sugary drink reduction; healthy diet; physical activity,healthy diet; diabetes prevention; diabetes prevention; hypertension lifestyle; hypertension lifestyle,True,True,1.0,1.0,diabetes prevention; sugary drink reduction; healthy diet; physical activity,diabetes prevention; sugary drink reduction; healthy diet; physical activity,4
D010,rag_only,diabetes prevention; weight management; sleep habits; healthy diet; physical activity,diabetes prevention; diabetes prevention; diabetes prevention; hypertension lifestyle; weight management,True,True,0.8,0.8,diabetes prevention; weight management; healthy diet; physical activity,diabetes prevention; weight management; healthy diet; physical activity,5
D010,full_pipeline,diabetes prevention; weight management; sleep habits; healthy diet; physical activity,diabetes prevention; diabetes prevention; diabetes prevention; hypertension lifestyle; weight management,True,True,0.8,0.8,diabetes prevention; weight management; healthy diet; physical activity,diabetes prevention; weight management; healthy diet; physical activity,5
M001,rag_only,weight management; low-impact exercise; injury-safe activity; physical activity,low-impact exercise; injury-safe activity; weight management; injury-safe activity; weight management,True,True,1.0,1.0,weight management; low impact exercise; injury safe activity; physical activity,weight management; low impact exercise; injury safe activity; physical activity,4
M001,full_pipeline,weight management; low-impact exercise; injury-safe activity; physical activity,low-impact exercise; injury-safe activity; weight management; injury-safe activity; weight management,True,True,1.0,1.0,weight management; low impact exercise; injury safe activity; physical activity,weight management; low impact exercise; injury safe activity; physical activity,4
M002,rag_only,injury-safe activity; low-impact exercise; physical activity,injury-safe activity; injury-safe activity; injury-safe activity; low-impact exercise; low-impact exercise,True,True,1.0,1.0,injury safe activity; low impact exercise; physical activity,injury safe activity; low impact exercise; physical activity,3
M002,full_pipeline,injury-safe activity; low-impact exercise; physical activity,injury-safe activity; injury-safe activity; injury-safe activity; low-impact exercise; low-impact exercise,True,True,1.0,1.0,injury safe activity; low impact exercise; physical activity,injury safe activity; low impact exercise; physical activity,3
M003,rag_only,sedentary behavior; injury-safe activity; muscle strengthening; physical activity,sedentary behavior; injury-safe activity; injury-safe activity; injury-safe activity; physical activity,True,True,1.0,1.0,sedentary behavior; injury safe activity; muscle strengthening; physical activity,sedentary behavior; injury safe activity; muscle strengthening; physical activity,4
M003,full_pipeline,sedentary behavior; injury-safe activity; muscle strengthening; physical activity,sedentary behavior; injury-safe activity; injury-safe activity; injury-safe activity; physical activity,True,True,1.0,1.0,sedentary behavior; injury safe activity; muscle strengthening; physical activity,sedentary behavior; injury safe activity; muscle strengthening; physical activity,4
M004,rag_only,low-impact exercise; injury-safe activity; weight management; physical activity,low-impact exercise; injury-safe activity; low-impact exercise; injury-safe activity; weight management,True,True,1.0,1.0,low impact exercise; injury safe activity; weight management; physical activity,low impact exercise; injury safe activity; weight management; physical activity,4
M004,full_pipeline,low-impact exercise; injury-safe activity; weight management; physical activity,low-impact exercise; injury-safe activity; low-impact exercise; injury-safe activity; weight management,True,True,1.0,1.0,low impact exercise; injury safe activity; weight management; physical activity,low impact exercise; injury safe activity; weight management; physical activity,4
M005,rag_only,injury-safe activity; low-impact exercise; physical activity,injury-safe activity; injury-safe activity; injury-safe activity; low-impact exercise; low-impact exercise,True,True,1.0,1.0,injury safe activity; low impact exercise; physical activity,injury safe activity; low impact exercise; physical activity,3
M005,full_pipeline,injury-safe activity; low-impact exercise; physical activity,injury-safe activity; injury-safe activity; injury-safe activity; low-impact exercise; low-impact exercise,True,True,1.0,1.0,injury safe activity; low impact exercise; physical activity,injury safe activity; low impact exercise; physical activity,3
PG001,rag_only,pregnancy physical activity; physical activity; moderate intensity,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; injury-safe activity; injury-safe activity,True,True,1.0,1.0,pregnancy physical activity; physical activity; moderate intensity,pregnancy physical activity; physical activity; moderate intensity,3
PG001,full_pipeline,pregnancy physical activity; physical activity; moderate intensity,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; injury-safe activity; injury-safe activity,True,True,1.0,1.0,pregnancy physical activity; physical activity; moderate intensity,pregnancy physical activity; physical activity; moderate intensity,3
PG002,rag_only,pregnancy physical activity; healthy diet; physical activity,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; physical activity; physical activity,True,True,1.0,1.0,pregnancy physical activity; healthy diet; physical activity,pregnancy physical activity; healthy diet; physical activity,3
PG002,full_pipeline,pregnancy physical activity; healthy diet; physical activity,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; physical activity; physical activity,True,True,1.0,1.0,pregnancy physical activity; healthy diet; physical activity,pregnancy physical activity; healthy diet; physical activity,3
PG003,rag_only,pregnancy physical activity; physical activity; healthy diet; sleep habits,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; physical activity; weight management,True,True,1.0,1.0,pregnancy physical activity; physical activity; healthy diet; sleep habits,pregnancy physical activity; physical activity; healthy diet; sleep habits,4
PG003,full_pipeline,pregnancy physical activity; physical activity; healthy diet; sleep habits,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; physical activity; weight management,True,True,1.0,1.0,pregnancy physical activity; physical activity; healthy diet; sleep habits,pregnancy physical activity; physical activity; healthy diet; sleep habits,4
PG004,rag_only,pregnancy physical activity; low-impact exercise; injury-safe activity; sedentary behavior,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; injury-safe activity; sedentary behavior,True,True,0.75,0.75,pregnancy physical activity; injury safe activity; sedentary behavior,pregnancy physical activity; injury safe activity; sedentary behavior,4
PG004,full_pipeline,pregnancy physical activity; low-impact exercise; injury-safe activity; sedentary behavior,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; injury-safe activity; sedentary behavior,True,True,0.75,0.75,pregnancy physical activity; injury safe activity; sedentary behavior,pregnancy physical activity; injury safe activity; sedentary behavior,4
PG005,rag_only,healthy diet; physical activity; alcohol moderation; pregnancy physical activity,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; hypertension lifestyle; alcohol moderation,True,True,1.0,1.0,healthy diet; physical activity; alcohol moderation; pregnancy physical activity,healthy diet; physical activity; alcohol moderation; pregnancy physical activity,4
PG005,full_pipeline,healthy diet; physical activity; alcohol moderation; pregnancy physical activity,pregnancy physical activity; pregnancy physical activity; pregnancy physical activity; hypertension lifestyle; alcohol moderation,True,True,1.0,1.0,healthy diet; physical activity; alcohol moderation; pregnancy physical activity,healthy diet; physical activity; alcohol moderation; pregnancy physical activity,4
